[66; 66; 66; 66; 66; 23; 12; 31; 41; 15]
[55; 13; 43; 25; 23; 66; 66; 66; 66; 66]
[66; 66; 66; 66; 66; 23; 12; 31; 41; 15]
[55; 43; 25; 23; 21; 66; 66; 66; 66; 66]
[66; 66; 66; 66; 66; 23; 12; 41; 15; 12]
[55; 43; 25; 23; 21; 66; 66; 66; 66; 66]
[66; 66; 66; 66; 66; 23; 12; 15; 12; 22]
[55; 25; 23; 21; 41; 66; 66; 66; 66; 66]
[66; 66; 66; 66; 66; 23; 12; 15; 12; 22]
[55; 25; 23; 41; 44; 66; 66; 66; 66; 66]
[66; 66; 66; 66; 66; 23; 12; 15; 12; 45]
[55; 25; 23; 41; 44; 66; 66; 66; 66; 66]
[66; 66; 66; 66; 66; 23; 15; 12; 45; 31]
[55; 25; 41; 44; 22; 66; 66; 66; 66; 66]
[66; 66; 66; 66; 66; 23; 15; 12; 45; 31]
[55; 25; 41; 44; 32; 66; 66; 66; 66; 66]
[66; 66; 66; 66; 66; 23; 15; 12; 45; 31]
[55; 25; 41; 44; 42; 66; 66; 66; 66; 66]
[66; 66; 66; 66; 66; 23; 15; 12; 45; 31]
[55; 25; 41; 44; 33; 66; 66; 66; 66; 66]
[66; 66; 66; 66; 66; 23; 15; 12; 45; 31]
[55; 25; 41; 44; 43; 66; 66; 66; 66; 66]
[66; 66; 66; 66; 66; 23; 15; 12; 45; 31]
[55; 25; 41; 44; 34; 66; 66; 66; 66; 66]
[66; 66; 66; 66; 66; 23; 15; 12; 45; 31]
[55; 25; 41; 34; 44; 66; 66; 66; 66; 66]
[66; 66; 66; 66; 66; 23; 15; 12; 45; 31]
[55; 25; 41; 44; 14; 66; 66; 66; 66; 66]
[66; 66; 66; 66; 66; 23; 15; 12; 45; 11]
[55; 25; 41; 44; 14; 66; 66; 66; 66; 66]
[66; 66; 66; 66; 66; 23; 15; 12; 45; 54]
[55; 25; 41; 44; 14; 66; 66; 66; 66; 66]
[66; 66; 66; 66; 66; 15; 12; 45; 54; 24]
[55; 25; 44; 14; 31; 66; 66; 66; 66; 66]
[66; 66; 66; 66; 66; 15; 12; 54; 24; 32]
[55; 25; 44; 14; 31; 66; 66; 66; 66; 66]
[66; 66; 66; 66; 66; 12; 54; 24; 32; 11]
[55; 25; 44; 14; 31; 66; 66; 66; 66; 66]
[66; 66; 66; 66; 66; 12; 54; 32; 11; 42]
[55; 44; 14; 31; 53; 66; 66; 66; 66; 66]
[66; 66; 66; 66; 66; 12; 54; 32; 11; 21]
[55; 44; 31; 53; 52; 66; 66; 66; 66; 66]
[66; 66; 66; 66; 66; 12; 54; 32; 11; 11]
[55; 44; 53; 52; 51; 66; 66; 66; 66; 66]
[66; 66; 66; 66; 66; 12; 54; 32; 11; 11]
[55; 44; 53; 52; 34; 66; 66; 66; 66; 66]
[66; 66; 66; 66; 66; 12; 54; 32; 11; 11]
[55; 44; 53; 34; 35; 66; 66; 66; 66; 66]
[66; 66; 66; 66; 66; 12; 54; 32; 11; 11]
[55; 44; 53; 34; 51; 66; 66; 66; 66; 66]
[66; 66; 66; 66; 66; 12; 54; 32; 11; 11]
[55; 44; 34; 51; 51; 66; 66; 66; 66; 66]
[66; 66; 66; 66; 66; 12; 54; 32; 11; 24]
[55; 44; 34; 51; 51; 66; 66; 66; 66; 66]
[66; 66; 66; 66; 66; 12; 32; 11; 24; 13]
[44; 34; 51; 51; 53; 66; 66; 66; 66; 66]
[66; 66; 66; 66; 66; 12; 11; 24; 13; 21]
[44; 34; 51; 51; 53; 66; 66; 66; 66; 66]
[66; 66; 66; 66; 66; 12; 11; 24; 13; 33]
[44; 51; 51; 53; 54; 66; 66; 66; 66; 66]
[66; 66; 66; 66; 66; 12; 11; 24; 13; 52]
[44; 51; 53; 54; 41; 66; 66; 66; 66; 66]
[66; 66; 66; 66; 66; 12; 24; 13; 52; 14]
[44; 53; 54; 41; 66; 66; 66; 66; 66]
